all	0	8750519	20487778	0.4271092
all	1	1495647	20487778	0.0730019
all	2	1001864	20487778	0.0489006
all	3	769216	20487778	0.0375451
all	4	639926	20487778	0.0312345
all	5	552989	20487778	0.0269912
all	6	487423	20487778	0.0237909
all	7	443835	20487778	0.0216634
all	8	405351	20487778	0.0197850
all	9	368590	20487778	0.0179907
all	10	343306	20487778	0.0167566
all	11	319946	20487778	0.0156164
all	12	300353	20487778	0.0146601
all	13	280401	20487778	0.0136863
all	14	263621	20487778	0.0128672
all	15	249847	20487778	0.0121949
all	16	231757	20487778	0.0113120
all	17	222388	20487778	0.0108547
all	18	211313	20487778	0.0103141
all	19	203251	20487778	0.0099206
all	20	190610	20487778	0.0093036
all	21	180488	20487778	0.0088095
all	22	171297	20487778	0.0083609
all	23	163081	20487778	0.0079599
all	24	153646	20487778	0.0074994
all	25	145015	20487778	0.0070781
all	26	138720	20487778	0.0067709
all	27	129123	20487778	0.0063024
all	28	122277	20487778	0.0059683
all	29	115590	20487778	0.0056419
all	30	108961	20487778	0.0053183
all	31	104303	20487778	0.0050910
all	32	98031	20487778	0.0047849
all	33	92739	20487778	0.0045266
all	34	86029	20487778	0.0041990
all	35	79158	20487778	0.0038637
all	36	74384	20487778	0.0036307
all	37	69291	20487778	0.0033821
all	38	63867	20487778	0.0031173
all	39	60578	20487778	0.0029568
all	40	56130	20487778	0.0027397
all	41	52224	20487778	0.0025490
all	42	48457	20487778	0.0023652
all	43	44929	20487778	0.0021930
all	44	41069	20487778	0.0020046
all	45	37988	20487778	0.0018542
all	46	34109	20487778	0.0016648
all	47	31138	20487778	0.0015198
all	48	28277	20487778	0.0013802
all	49	25617	20487778	0.0012504
all	50	23529	20487778	0.0011484
all	51	21734	20487778	0.0010608
all	52	19141	20487778	0.0009343
all	53	17357	20487778	0.0008472
all	54	15309	20487778	0.0007472
all	55	13736	20487778	0.0006704
all	56	11757	20487778	0.0005739
all	57	10295	20487778	0.0005025
all	58	9432	20487778	0.0004604
all	59	8078	20487778	0.0003943
all	60	7091	20487778	0.0003461
all	61	5951	20487778	0.0002905
all	62	5202	20487778	0.0002539
all	63	4468	20487778	0.0002181
all	64	3651	20487778	0.0001782
all	65	3221	20487778	0.0001572
all	66	2875	20487778	0.0001403
all	67	2610	20487778	0.0001274
all	68	2310	20487778	0.0001128
all	69	1801	20487778	0.0000879
all	70	1616	20487778	0.0000789
all	71	1339	20487778	0.0000654
all	72	1062	20487778	0.0000518
all	73	945	20487778	0.0000461
all	74	829	20487778	0.0000405
all	75	694	20487778	0.0000339
all	76	507	20487778	0.0000247
all	77	418	20487778	0.0000204
all	78	376	20487778	0.0000184
all	79	265	20487778	0.0000129
all	80	223	20487778	0.0000109
all	81	182	20487778	0.0000089
all	82	128	20487778	0.0000062
all	83	137	20487778	0.0000067
all	84	111	20487778	0.0000054
all	85	98	20487778	0.0000048
all	86	78	20487778	0.0000038
all	87	44	20487778	0.0000021
all	88	44	20487778	0.0000021
all	89	25	20487778	0.0000012
all	90	45	20487778	0.0000022
all	91	36	20487778	0.0000018
all	92	45	20487778	0.0000022
all	93	30	20487778	0.0000015
all	94	26	20487778	0.0000013
all	95	10	20487778	0.0000005
all	96	22	20487778	0.0000011
all	97	10	20487778	0.0000005
all	98	10	20487778	0.0000005
all	99	6	20487778	0.0000003
all	100	7	20487778	0.0000003
all	101	14	20487778	0.0000007
all	102	12	20487778	0.0000006
all	103	13	20487778	0.0000006
all	104	7	20487778	0.0000003
all	105	18	20487778	0.0000009
all	106	11	20487778	0.0000005
all	107	7	20487778	0.0000003
all	108	10	20487778	0.0000005
all	109	10	20487778	0.0000005
all	110	2	20487778	0.0000001
all	111	1	20487778	0.0000000
all	113	10	20487778	0.0000005
all	114	9	20487778	0.0000004
all	115	9	20487778	0.0000004
all	116	4	20487778	0.0000002
all	117	14	20487778	0.0000007
all	118	17	20487778	0.0000008
all	119	12	20487778	0.0000006
all	120	9	20487778	0.0000004
all	121	4	20487778	0.0000002
